id, 14:1 (g), 16:1 (g), 18:1 (g), 20:1 (g), 18:2 n-6 (g), 18:3 n-3 (g), 20:4 (g), 20:5 (g), 22:5 (g), 22:6 (g), 18:1t (g), 18:2t (g),
385, 0.18, 0.40, 6.76, 0.04, 0.18, 0.10, 0.03, , 0.05, , 0.59, 0.07,
386, , 0.02, 3.32, 0.07, 4.33, 0.32, 0.01, , , , 0.45, 0.13,
388, , 0.16, 7.10, 0.07, 10.47, 1.04, , , , , 0.27, ,
390, , 0.04, 5.12, 0.03, 1.22, 0.07, , , , , 6.21, 0.96,
391, , 0.80, 5.75, , 2.96, 0.01, 0.06, , , , 0.03, 0.01,
392, , 0.69, 6.73, 0.03, 2.18, 0.09, Tr, , Tr, Tr, 0.03, 0.01,
393, , 0.26, 3.14, 0.02, 1.16, 0.04, Tr, , Tr, Tr, 0.01, ,
394, , 0.66, 5.56, 0.06, 3.15, 0.13, 0.09, , , , 0.09, ,
395, 0.01, 0.37, 0.08, 0.04, 1.41, 0.04, 0.08, , 0.01, , 0.08, 0.02,
396, 0.01, 0.38, 3.35, 0.02, 2.11, 0.09, Tr, Tr, , , 0.12, 0.02,
397, , 0.45, 3.61, 0.02, 2.00, 0.09, 0.05, , , , 0.04, ,
398, 0.01, 0.20, 1.84, 0.01, 1.10, 0.05, Tr, Tr, , , , ,
399, , 0.24, 1.82, 0.01, 0.80, 0.02, 0.03, , , , 0.01, ,
400, , 0.05, 0.58, 0.01, 0.38, 0.01, 0.13, , 0.03, 0.02, 0.01, ,
401, , 0.05, 2.24, 0.03, 3.01, 0.23, 0.04, 0.02, , , 0.02, 0.02,
402, , 0.88, 6.31, 0.03, 3.57, 0.20, 0.07, , , , 0.07, ,
403, 0.01, 0.19, 2.36, 0.02, 1.73, 0.09, Tr, Tr, , , 0.10, 0.02,
404, 0.01, 0.23, 2.26, 0.02, 1.42, 0.07, Tr, Tr, , , 0.09, 0.02,
405, , 0.23, 1.63, 0.01, 0.92, 0.04, 0.05, , , , 0.01, ,
406, 0.01, 0.22, 2.45, 0.02, 1.70, 0.10, Tr, Tr, Tr, , 0.10, 0.02,
407, , 0.44, 2.75, 0.03, 0.80, 0.03, 0.03, , , , 0.03, ,
408, , 0.07, 0.98, 0.01, 0.53, 0.02, Tr, Tr, , , 0.04, 0.01,
409, , 0.16, 1.16, 0.01, Tr, 0.01, 0.02, , , , 0.01, ,
410, , 0.07, 0.80, 0.01, 0.31, 0.01, Tr, Tr, , , 0.04, Tr,
411, 0.02, 0.50, 4.80, 0.04, 3.64, 0.21, Tr, Tr, , , 0.19, 0.04,
412, , 1.13, 8.44, 0.02, 3.41, 0.12, 0.08, , , , 0.06, ,
413, 0.01, 0.42, 3.76, 0.03, 2.86, 0.17, Tr, Tr, , , 0.14, 0.04,
414, , 0.57, 3.87, 0.02, 1.45, 0.04, 0.05, , , , 0.03, ,
415, 0.12, 0.58, 4.96, 0.03, 0.68, 0.08, 0.03, , , 0.01, 0.81, 0.19,
416, 0.07, 0.41, 5.37, 0.07, 3.28, 0.29, 0.03, , 0.02, , 0.33, 0.11,
417, 0.05, 0.42, 4.25, 0.02, 1.08, 0.10, 0.04, 0.02, , , 0.30, 0.06,
418, 0.01, 0.52, 6.70, 0.08, 3.08, 0.17, , , , , 0.04, ,
419, , 0.45, 6.60, 0.10, 3.85, 0.25, 0.09, , , , 0.04, ,
420, , 0.44, 6.20, 0.09, 3.00, 0.17, 0.09, , , , 0.04, ,
421, , 0.25, 4.66, 0.08, 1.48, 0.05, 0.06, , , , 0.03, ,
422, , 0.29, 7.66, 0.13, 2.43, 0.11, 0.09, , , , 0.03, ,
423, , 0.44, 8.07, 0.13, 2.35, 0.10, 0.10, , , , 0.03, ,
424, , 0.60, 7.36, 0.12, 4.41, 0.28, , , , , , ,
425, , 0.11, 1.60, 0.01, 1.41, 0.03, Tr, Tr, , , 0.02, Tr,
426, , 0.03, 0.41, Tr, 0.63, 0.03, 0.06, , , , , ,
427, , 0.21, 3.37, 0.06, 1.12, 0.05, 0.05, , , , , ,
428, , 0.25, 6.17, 0.11, 4.07, 0.32, 0.07, , 0.02, , 0.16, 0.05,
429, , 0.31, 7.14, 0.13, 1.03, 0.03, 0.03, , , , 0.09, ,
430, , 0.63, 12.90, 0.23, 2.75, 0.12, 0.09, , , , 0.06, ,
431, , 0.45, 7.64, 0.12, 2.11, 0.09, 0.08, , , , , ,
432, , 0.11, 2.63, 0.16, 0.55, 0.07, 0.02, , , , 0.02, ,
433, , 0.22, 3.39, 0.06, 0.88, 0.04, 0.05, , , , , ,
434, , 0.90, 10.15, 0.19, 2.58, 0.11, 0.09, , , , , ,
435, , 0.29, 5.91, 0.11, 1.66, 0.05, 0.11, , , , , ,
436, , 0.26, 4.64, 0.09, 1.51, 0.06, 0.08, , , , , ,
437, , 0.78, 15.49, 0.30, 3.85, 0.16, 0.07, , , , 0.07, ,
438, , 0.13, 2.39, 0.05, 0.87, 0.04, 0.04, , , , 0.01, ,
439, , 0.07, 1.04, 0.02, 0.38, 0.01, 0.04, , , , , ,
440, , 0.06, 0.87, , 0.25, 0.02, , , Tr, , 0.06, ,
441, , 0.06, 0.63, 0.01, 0.21, 0.03, 0.02, 0.01, 0.01, , 0.03, ,
442, 0.03, 0.17, 4.75, 0.05, 4.55, 0.41, 0.03, , , , 0.18, 0.08,
